Nested Sampling Global Log-Evidence           :   -0.475502661673278411E+02  +/-    0.154567410656415549E+00

Dim No.       Mean        Sigma
   1    0.122654915851191575E+02    0.307527262747292918E+01
   2    0.122276753039429900E+04    0.118398671215952955E+02
   3   -0.181105170358344516E+02    0.404700507009318866E+00
   4    0.736093364401643191E+00    0.868802558103391048E-01
   5    0.864699119495699664E+00    0.186848749094182691E-03
   6    0.895262552961428537E+00    0.384141747972715890E-04
   7    0.963470403006021847E+01    0.496258792062030807E+01
   8   -0.696837213134848099E+01    0.656134256412587269E+00
   9    0.222629100133577007E+00    0.224463019921226740E-01
  10   -0.705421552288220610E+01    0.291097201073475920E+00
  11   -0.266567901296420023E+05    0.809305618200532876E+03
  12   -0.465805971759347717E-09    0.396903281797359325E-09
  13   -0.192217426382318714E-06    0.665662771653644512E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.101370503727821415E+02
   2    0.122352200798864851E+04
   3   -0.173400132412722172E+02
   4    0.657495908015896413E+00
   5    0.864752812583754804E+00
   6    0.895273474881428943E+00
   7    0.438034951567995989E+01
   8   -0.807579072293321509E+01
   9    0.223471178323899067E+00
  10   -0.636827544603905249E+01
  11   -0.258664083315690914E+05
  12   -0.291992697587961056E-09
  13   -0.517149239595108396E-06

MAP Parameters
Dim No.        Parameter
   1    0.101370503727821415E+02
   2    0.122352200798864851E+04
   3   -0.173400132412722172E+02
   4    0.657495908015896413E+00
   5    0.864752812583754804E+00
   6    0.895273474881428943E+00
   7    0.438034951567995989E+01
   8   -0.807579072293321509E+01
   9    0.223471178323899067E+00
  10   -0.636827544603905249E+01
  11   -0.258664083315690914E+05
  12   -0.291992697587961056E-09
  13   -0.517149239595108396E-06
