,XFo
0,0.8519180072409348
1,0.8502031026507241
2,0.8489824655062261
3,0.848315770292012
4,0.8480613107677244
5,0.8479862653762938
6,0.8479707746685751
7,0.8479684689806364
8,0.8479682058480914
9,0.8479681857448366
10,0.8479681846252826
11,0.8479681845777122
12,0.8479681845763508
13,0.8479681845763242
14,0.8479681845763238
15,0.8479681845763238
16,0.8479681845763238
17,0.8479681845763238
18,0.8479681845763238
19,0.8479681845763238
20,0.8479681845763238
21,0.8479681845763238
22,0.8479681845763238
23,0.8479681845763238
24,0.8479681845763238
25,0.8479681845763238
26,0.8479681845763238
27,0.8479681845763238
28,0.8479681845763238
29,0.8479681845763238
